"代码","名称","最新价","涨跌额","涨跌幅","市值","成交量","成交额","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅","市盈率(静)","换手率","涨跌速率","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今","所属行业"
"DIS","迪士尼","102.670","-2.680","-2.54%","177278944228.34","19139670","1971069320.00","102.700","102.770","100","200","105.045","105.350","105.045","102.370","2.31","-33.33%","2.54%","14.988","1.11%","0.17%","+0.06%","-3.64%","-4.19%","-4.33%","+2.31%","+11.94%","-8.44%","-9.07%","娱乐"
"PEP","百事可乐","129.750","-3.910","-2.93%","177094679650.50","23539930","3064870655.00","129.870","129.890","100","1000","132.210","133.660","132.300","129.550","2.59","-81.82%","2.06%","21.625","1.73%","0.17%","-0.14%","-4.82%","-6.34%","-7.70%","-7.83%","-13.41%","-4.76%","-6.84%","非酒精饮料"
"MCD","麦当劳","248.240","-0.240","-0.10%","175664933655.44","9577429","2381182282.00","248.900","248.970","440","40","248.270","248.480","250.450","247.650","1.89","83.33%","1.13%","20.773","1.37%","-0.21%","-0.40%","-1.70%","-4.39%","-7.11%","-8.72%","-17.72%","-15.79%","-17.19%","餐厅"
"T","AT&T","25.400","+0.010","+0.04%","174050595510.00","84401987","2144012420.00","25.410","25.450","2700","300","25.080","25.390","25.640","25.060","2.12","80.00%","2.28%","8.355","1.23%","0.04%","-0.18%","-2.53%","-3.02%","+0.99%","+15.06%","-10.62%","-8.32%","+5.93%","电信服务"
"NEE","新纪元能源","80.470","-0.810","-1.00%","167858666478.23","21574707","1738288691.00","80.450","81.000","200","100","80.670","81.280","81.000","80.390","2.10","33.33%","0.75%","24.384","1.04%","-0.22%","-0.26%","-2.24%","-4.27%","-4.65%","-7.47%","-10.65%","+16.46%","+2.42%","受监管电力"
"SMFG","三井住友金融","26.240","-0.480","-1.80%","166108293865.60","1452347","38029970.00","25.800","27.380","500","100","26.070","26.720","26.315","25.930","1.15","66.67%","1.44%","16.565","0.02%","-0.23%","-0.21%","-3.85%","-4.79%","+6.93%","+11.09%","+39.89%","+61.12%","+37.87%","多元化银行"
"UNP","联合太平洋","279.370","-3.110","-1.10%","165966871876.26","4857631","1358257611.00","278.000","284.000","100","300","281.250","282.480","281.340","278.700","2.56","-50.00%","0.93%","23.319","0.82%","0.13%","-0.04%","-1.77%","-3.38%","-7.67%","+7.97%","+18.15%","+29.30%","+22.60%","铁路运输"
"BLK","贝莱德","1069.780","+15.820","+1.50%","165676035893.02","1087364","1157540446.00","1070.010","1074.000","80","80","1047.140","1053.960","1070.105","1041.911","2.05","0.00%","2.68%","30.296","0.76%","0.20%","+0.09%","-0.91%","-4.52%","-5.66%","+9.43%","+15.79%","-4.39%","+1.59%","资产管理"
"SHOP","Shopify","128.500","-0.100","-0.08%","165333745262.00","11105229","1424027418.00","128.260","128.590","900","100","128.790","128.600","129.400","126.825","1.38","80.00%","2.00%","136.702","0.92%","-0.00%","+0.24%","-0.23%","-11.91%","-12.69%","+12.55%","+14.89%","-16.18%","-20.17%","应用软件"
"SCCO","南方铜业","195.700","-0.410","-0.21%","165238059350.20","1387023","270820821.00","194.060","196.870","200","100","196.810","196.110","196.940","193.000","1.60","33.33%","2.01%","36.903","1.49%","0.15%","+0.15%","+1.14%","-1.92%","-1.52%","+15.89%","+24.75%","+89.09%","+42.81%","铜"
"ETN","伊顿","424.770","+15.310","+3.74%","164980668000.00","4615565","1948307887.00","424.200","427.100","40","40","411.480","409.460","425.340","410.925","1.93","0.00%","3.52%","40.531","1.19%","-0.06%","+0.06%","-0.14%","+6.96%","+2.28%","+5.25%","+19.49%","+14.68%","+34.48%","专用工业机械"
"WELL","Welltower","228.870","-3.390","-1.46%","164956896935.37","8296616","1900282384.00","225.000","230.820","100","100","229.600","232.260","231.860","228.000","4.11","0.00%","1.66%","164.654","1.15%","0.00%","+0.24%","-2.86%","-5.08%","-3.59%","+3.75%","+17.75%","+40.59%","+24.64%","医疗设施REITs"
"WDC","西部数据","441.360","+17.490","+4.13%","159128351043.84","13518931","5942233941.00","442.000","442.800","120","120","427.495","423.870","448.850","424.545","1.91","0.00%","5.73%","18.177","3.78%","-0.08%","-0.07%","-1.30%","-0.02%","-5.87%","-31.43%","+60.39%","+314.69%","+156.47%","计算机硬件"
"COP","康菲石油","131.830","-1.360","-1.02%","158372319856.57","18520087","2444963347.00","131.000","132.010","7600","100","132.840","133.190","133.330","131.480","2.62","97.40%","1.39%","20.760","1.54%","-0.01%","-0.14%","-4.02%","-2.87%","-2.27%","+24.12%","-0.08%","+47.94%","+43.93%","油气勘探与开发"
"RIO","力拓","97.370","-0.670","-0.68%","158358622567.60","1314503","127537070.00","96.900","100.300","900","100","97.490","98.040","97.490","96.470","0.77","80.00%","1.04%","16.004","0.09%","0.17%","+0.11%","-2.59%","-5.32%","-4.70%","+5.83%","+14.85%","+63.98%","+27.82%","其他工业金属与采矿"
"PFE","辉瑞","27.660","+0.020","+0.07%","157652971471.74","75593387","2087315483.00","27.580","27.650","100","300","27.640","27.640","27.660","27.340","2.50","-50.00%","1.16%","20.338","1.33%","0.42%","+0.38%","-0.22%","-3.99%","-0.47%","+17.07%","+5.80%","+23.18%","+16.82%","一般药品制造商"
"BA","波音","198.200","+1.200","+0.61%","156651337964.00","9834402","1942961986.00","198.540","198.600","2300","1700","196.830","197.000","199.630","195.460","1.36","15.00%","2.12%","79.919","1.31%","-0.07%","-0.18%","-5.82%","-5.85%","-7.86%","-10.01%","+4.03%","-8.09%","-8.71%","航空航天与国防"
"BBVA","西班牙毕尔巴鄂银行","28.360","-0.470","-1.63%","156499138222.92","2403078","67987989.00","28.000","29.200","500","1000","28.270","28.830","28.460","28.130","1.96","-33.33%","1.14%","14.039","0.04%","0.18%","+0.14%","-4.03%","-4.32%","-0.94%","+17.38%","+43.19%","+54.20%","+25.43%","多元化银行"
"UBS","瑞银","50.690","+0.070","+0.14%","155199709532.81","1966733","99555848.00","50.400","53.050","2200","500","50.795","50.620","50.870","50.380","1.03","62.96%","0.97%","21.478","0.06%","0.02%","-0.06%","-7.13%","-8.96%","-4.72%","+2.61%","+42.85%","+22.99%","+12.32%","多元化银行"
"IBKR","盈透证券","90.690","+2.310","+2.61%","154519035585.03","6227861","562891392.00","90.690","90.800","100","200","89.910","88.380","91.060","88.750","1.55","-33.33%","2.61%","40.851","1.44%","0.05%","+0.03%","-0.74%","-2.43%","+1.03%","-2.18%","+41.53%","+40.05%","+41.44%","资本市场"
"BUD","百威英博","77.730","-1.040","-1.32%","153293902287.42","2569447","199191329.00","77.300","77.730","100","100","77.300","78.770","77.800","76.850","1.51","0.00%","1.21%","22.929","0.26%","0.13%","+0.25%","-0.64%","-3.10%","-0.24%","-7.94%","+16.75%","+33.27%","+23.18%","啤酒"
"DHR","丹纳赫","211.810","-0.690","-0.32%","148899476097.74","8835009","1872206533.00","211.010","216.690","100","100","212.640","212.500","214.980","210.100","2.17","0.00%","2.30%","41.942","1.41%","0.10%","-0.10%","+5.83%","+0.37%","-1.90%","+12.38%","+16.93%","+10.39%","-7.08%","诊断与研究"
"UBER","优步","70.500","-0.370","-0.52%","144000488530.50","20652837","1456206572.00","70.520","70.600","100","100","70.895","70.870","71.000","70.060","1.05","0.00%","1.33%","14.904","1.02%","-0.01%","-0.25%","-1.63%","-7.19%","-10.25%","-4.54%","+1.91%","-28.43%","-13.72%","应用软件"
"NOW","ServiceNow","135.470","-3.000","-2.17%","140057285140.00","19250566","2619060197.00","135.950","136.090","1000","600","139.710","138.470","139.940","135.070","1.50","25.00%","3.52%","81.119","1.87%","0.26%","-0.16%","+2.22%","-6.95%","+4.41%","+44.42%","+36.27%","-29.53%","-11.57%","应用软件"
"TJX","TJX公司","127.240","+0.690","+0.55%","139960699521.64","17683881","2258787085.00","127.600","127.760","100","100","126.420","126.550","129.470","126.070","1.82","0.00%","2.69%","26.127","1.61%","-0.22%","-0.44%","+0.97%","-3.74%","-9.56%","-22.72%","-17.44%","-7.86%","-16.40%","服装零售"
"ISRG","直觉外科公司","393.330","+9.790","+2.55%","138954850686.54","4930004","1930395280.00","392.010","394.000","120","80","381.510","383.540","394.910","379.500","1.97","20.00%","4.02%","49.978","1.40%","-0.06%","-0.12%","+6.55%","+6.35%","+5.03%","-2.12%","-13.11%","-10.35%","-30.55%","医疗设备和用品"
"SONY","索尼","23.460","-0.370","-1.55%","137131514737.14","3332640","78090909.00","23.400","23.730","300","100","23.360","23.830","23.515","23.200","1.01","50.00%","1.32%","亏损","0.06%","-0.04%","-0.15%","-1.84%","-6.01%","-0.51%","+17.24%","+18.29%","-19.56%","-8.00%","消费电子产品"
"PBR","巴西石油公司","20.800","-0.140","-0.67%","134042820704.00","15008080","312399591.00","20.700","20.900","100","200","20.750","20.940","20.900","20.680","0.81","-33.33%","1.05%","6.842","0.37%","-0.17%","+0.10%","-1.89%","+1.41%","+12.62%","+30.15%","+5.93%","+79.94%","+85.67%","综合油气"
"UL","联合利华(英国)","61.820","-0.400","-0.64%","133114827215.92","2786725","172234235.00","60.970","63.000","100","100","61.725","62.220","61.990","61.540","0.89","0.00%","0.72%","12.468","0.32%","0.08%","+0.02%","-0.32%","-3.77%","-2.49%","+3.95%","+6.01%","-7.09%","-3.03%","家庭和个人用品"
"MFG","瑞穗金融","10.940","-0.130","-1.17%","133114477346.10","2748321","29943103.00","10.580","11.300","100","400","10.800","11.070","10.950","10.730","0.72","-60.00%","1.99%","16.961","0.02%","0.18%","+0.14%","-4.45%","-3.36%","+8.00%","+14.20%","+45.10%","+69.07%","+51.25%","地区银行"
"CB","安达保险","340.640","-1.260","-0.37%","131418863969.76","4326966","1473733706.00","340.640","341.000","80","80","339.410","341.900","341.735","338.290","3.11","0.00%","1.01%","13.264","1.24%","0.18%","-0.15%","+0.71%","-1.89%","-0.35%","+1.95%","+7.41%","+25.90%","+10.13%","财产和意外伤害保险"
"NEM","纽曼矿业","123.410","-0.980","-0.79%","130036163164.11","21501146","2651681921.00","122.220","123.620","100","1000","124.000","124.390","125.135","121.800","3.59","-81.82%","2.68%","19.312","2.05%","0.04%","+0.29%","-2.68%","-5.38%","-3.11%","+31.50%","+21.41%","+52.43%","+24.39%","黄金"
"GLW","康宁","150.130","+2.330","+1.58%","129320230133.03","14505709","2182160676.00","150.000","150.100","200","500","152.000","147.800","153.770","148.680","1.51","-42.86%","3.44%","82.038","1.84%","0.54%","-0.35%","-9.78%","+2.83%","-0.68%","-26.92%","+10.11%","+90.35%","+72.37%","电子元件"
"VRTX","福泰制药","508.340","-8.000","-1.55%","128844326106.16","2434832","1240290229.00","505.000","508.560","40","40","516.340","516.340","518.100","505.010","2.97","0.00%","2.54%","33.181","0.96%","0.04%","-0.21%","-1.38%","-8.89%","-5.91%","+6.97%","+17.38%","+32.68%","+12.13%","生物技术"
"BMY","施贵宝","63.060","+0.220","+0.35%","128813586207.36","36849552","2319796548.00","62.300","63.500","100","1000","62.710","62.840","63.065","62.190","4.04","-81.82%","1.39%","18.225","1.81%","0.17%","+0.46%","-0.91%","-7.39%","-3.68%","+15.95%","+10.06%","+46.79%","+20.86%","一般药品制造商"
"PLD","安博","134.840","-0.340","-0.25%","128142951880.48","7648636","1028809852.00","132.350","136.380","100","100","133.370","135.180","134.910","133.250","2.38","0.00%","1.23%","37.876","0.81%","0.08%","+0.32%","+0.12%","-1.76%","-3.39%","-3.52%","+6.20%","+22.52%","+8.10%","工业REITs"
"BKNG","Booking Holdings","167.900","-2.620","-1.54%","126156785950.00","18459805","3103308508.00","167.850","168.100","300","200","169.150","170.520","169.930","166.900","2.51","20.00%","1.78%","25.351","2.46%","0.50%","-0.04%","-3.46%","-13.75%","-19.80%","-7.14%","+3.84%","-22.20%","-21.05%","旅游服务"
"FTNT","飞塔信息","169.840","-2.740","-1.59%","124613926825.52","12746456","2163906013.00","169.500","170.800","100","100","172.460","172.580","172.940","166.090","2.84","0.00%","3.97%","70.181","2.06%","0.03%","+0.56%","+8.82%","+8.62%","+12.63%","+16.91%","+117.19%","+101.69%","+113.88%","软件基础设施"
"COF","第一资本信贷","202.430","+0.390","+0.19%","124187735351.48","8071252","1632432936.00","202.150","206.000","200","200","201.300","202.040","202.970","200.280","2.14","0.00%","1.33%","50.230","1.33%","0.26%","-0.23%","-2.82%","-8.20%","-4.73%","+1.33%","+15.85%","-9.96%","-15.50%","信贷"
"PGR","前进保险","213.480","-2.810","-1.30%","123903792000.00","6118270","1306577836.00","212.120","216.100","100","100","214.060","216.290","215.140","212.385","2.83","0.00%","1.27%","11.101","1.06%","0.30%","-0.12%","-1.90%","-4.64%","-3.11%","-3.14%","+7.47%","-6.19%","-0.20%","财产和意外伤害保险"
"LMT","洛克希德马丁","533.380","-4.710","-0.88%","123099171835.14","2860825","1525370128.00","534.150","534.890","200","80","536.980","538.090","538.100","527.100","2.77","42.86%","2.04%","24.819","1.45%","-0.07%","-0.17%","+1.75%","+0.08%","-6.09%","+9.16%","-12.28%","+15.69%","+12.27%","航空航天与国防"
"BMO","蒙特利尔银行","174.490","+0.700","+0.40%","122215695849.31","448837","78139259.00","165.000","184.250","100","300","172.740","173.790","174.770","172.740","0.79","-50.00%","1.17%","21.341","0.06%","-0.06%","-0.10%","-0.22%","-1.34%","+0.92%","+1.94%","+34.44%","+38.41%","+37.69%","多元化银行"
"PBR.A","巴西石油公司-Prefer","18.820","-0.120","-0.63%","121282975271.60","3546492","66714360.00","18.660","18.990","100","100","18.750","18.940","18.930","18.730","0.56","0.00%","1.06%","6.190","0.09%","0.03%","+0.13%","-1.52%","+1.29%","+14.05%","+31.85%","+6.55%","+77.26%","+77.74%","综合油气"
"BTI","英美烟草","55.830","-0.190","-0.34%","120193421769.90","3085652","172511726.00","55.750","56.300","1700","200","55.680","56.020","56.105","55.600","0.50","78.95%","0.90%","11.972","0.16%","-0.13%","-0.14%","+1.07%","-0.25%","-1.53%","-7.80%","-2.07%","+8.15%","+1.42%","烟草"
"SPGI","标普全球","405.320","+1.210","+0.30%","119488336000.00","2420522","980677881.00","405.500","409.640","120","40","401.400","404.110","408.080","400.830","1.42","50.00%","1.79%","27.648","0.82%","0.21%","-0.11%","-1.31%","-10.04%","-6.00%","+6.74%","+5.97%","-14.75%","-17.43%","金融数据与证券交易所"
"MPC","马拉松原油","424.890","+2.930","+0.69%","119319633551.07","9859692","4185863882.00","424.500","425.900","200","200","420.270","421.960","428.000","419.150","3.43","0.00%","2.10%","32.139","3.52%","0.52%","+0.30%","+7.31%","+9.59%","+18.61%","+72.83%","+69.77%","+132.93%","+164.29%","油气炼制与销售"
"VLO","瓦莱罗能源","413.280","+0.750","+0.18%","118994661082.08","9293326","3839478523.00","412.000","414.490","600","300","412.000","412.530","416.660","409.150","2.53","33.33%","1.82%","54.594","3.24%","0.33%","+0.20%","+5.86%","+11.49%","+21.02%","+71.13%","+63.91%","+159.53%","+157.63%","油气炼制与销售"
"PH","派克汉尼汾","943.540","+18.250","+1.97%","118992108049.10","1065896","1000496788.00","911.010","949.900","40","40","925.140","925.290","943.890","923.150","2.00","0.00%","2.24%","33.129","0.85%","-0.15%","+0.22%","-0.70%","-2.18%","-5.47%","-1.63%","+6.66%","+25.90%","+8.01%","专用工业机械"
"HDB","HDFC银行","23.160","+0.500","+2.21%","118836803492.16","9359950","216604589.00","23.100","23.300","500","100","23.030","22.660","23.350","22.915","0.78","66.67%","1.92%","16.173","0.18%","-0.19%","+0.11%","-0.77%","-0.52%","-0.77%","-7.80%","-3.22%","-33.53%","-35.51%","地区银行"
"MDT","美敦力","92.130","-0.640","-0.69%","117846973805.70","15446268","1425425269.00","92.100","92.400","100","1100","92.280","92.770","93.030","92.040","1.67","-83.33%","1.07%","24.699","1.21%","0.00%","-0.37%","+1.29%","-1.04%","-0.18%","+16.01%","+6.68%","+0.05%","-2.44%","医疗设备"
"SNOW","Snowflake","332.430","-5.960","-1.76%","117281304000.00","4319212","1438466764.00","330.300","332.390","100","1000","338.610","338.390","340.310","330.140","1.01","-81.82%","3.01%","亏损","1.29%","0.15%","+0.34%","+1.05%","-6.74%","+3.47%","+47.13%","+117.56%","+44.23%","+51.55%","应用软件"
"MO","奥驰亚","69.520","-0.180","-0.26%","116080597735.52","14345282","997336093.00","69.500","69.570","300","100","69.340","69.700","69.975","68.620","1.66","50.00%","1.94%","16.873","0.86%","0.04%","-0.19%","+2.39%","+1.64%","+5.51%","-2.00%","+7.83%","+14.38%","+26.41%","烟草"
"NET","Cloudflare","323.600","-10.340","-3.10%","115227395774.00","4549894","1461662270.00","323.250","324.000","200","200","338.000","333.940","338.000","313.500","1.47","0.00%","7.34%","亏损","1.42%","0.53%","+0.32%","+5.57%","+13.74%","+16.02%","+44.80%","+59.39%","+43.22%","+64.14%","软件基础设施"
"BP","英国石油","44.580","-0.840","-1.85%","114811530648.48","11222476","502361524.00","44.500","45.000","300","800","44.695","45.420","45.070","44.540","1.20","-45.45%","1.17%","2229.000","0.45%","0.02%","-0.06%","-3.30%","+2.29%","-1.24%","+19.20%","-2.22%","+37.39%","+33.13%","综合油气"
"BNS","丰业银行","94.070","-0.030","-0.03%","114464994039.90","989863","92976125.00","93.390","95.080","100","100","93.550","94.100","94.220","93.415","0.50","0.00%","0.86%","23.215","0.08%","-0.03%","0.00%","+0.66%","-0.90%","+8.83%","+11.31%","+41.82%","+51.31%","+31.72%","多元化银行"
"CVS","西维斯健康","88.840","-1.430","-1.58%","113623727581.96","21880291","1943665216.00","88.950","89.250","100","400","90.090","90.270","90.480","88.150","3.84","-60.00%","2.58%","63.913","1.71%","-0.24%","-0.13%","-6.15%","-8.60%","-5.14%","-12.25%","+28.67%","+22.34%","+14.56%","医疗计划"
"PDD","拼多多","78.900","+1.170","+1.51%","112305980851.80","8199033","647240126.00","79.000","79.090","100","100","77.975","77.730","79.685","77.810","1.07","0.00%","2.41%","8.018","1.07%","-0.01%","+0.23%","+1.40%","-3.34%","-11.86%","+4.17%","-20.95%","-39.06%","-30.42%","互联网零售"
"ACN","埃森哲","181.290","-9.000","-4.73%","110993493948.78","11664716","2127911836.00","195.800","196.340","300","2100","188.580","190.290","189.480","180.700","2.78","-75.00%","4.61%","14.920","1.91%","0.28%","-0.14%","-1.42%","-6.13%","-0.03%","+42.06%","-3.93%","-21.85%","-30.64%","信息技术服务"
